Date,Open,High,Low,Close,Volume,Marketcap,Vol/Cap,HL_spread,OC_spread
2022-04-11,0.999695575,1.000304261,0.999009469,0.999731991,5102389285.0,50795899323,0.10044884238696167,0.0012947919999999336,-3.6416000000039084e-05
2022-04-10,1.000083997,1.000502701,0.999144294,0.999625866,2315716300.0,50992961339,0.045412469470152414,0.001358407000000006,0.00045813099999991724
2022-04-09,0.999746132,1.000533418,0.999067147,1.000083674,2269317026.0,50978738974,0.044514969802556106,0.0014662710000000745,-0.000337542000000135
2022-04-08,1.0001096,1.001015273,0.997316348,0.9997413,3965817036.0,50917565720,0.07788701168096612,0.0036989249999999085,0.0003682999999999881
2022-04-07,0.999612105,1.001110563,0.999065619,1.000037481,3809231231.0,51061579331,0.0746007327017278,0.002044943999999882,-0.0004253759999999218
2022-04-06,0.99965877,1.000601678,0.998623038,0.999585485,5849605363.0,51057860407,0.11456816475212156,0.0019786400000000315,7.328500000003402e-05
2022-04-05,1.000138065,1.000360084,0.999033659,0.999695629,3993328112.0,51387143232,0.07771064629864964,0.00132642500000002,0.000442436000000046
2022-04-04,1.000088342,1.000315986,0.998909766,1.00012226,4217884092.0,51724834040,0.08154466167524507,0.0014062199999999025,-3.391799999996614e-05
2022-04-03,0.999304359,1.00043837,0.998504568,1.000094222,3383196459.0,51633984579,0.06552266857932897,0.001933801999999929,-0.0007898629999999462
2022-04-02,1.000007043,1.000308526,0.999064571,0.999343929,4174919496.0,51598278622,0.08091199178532162,0.0012439549999999633,0.0006631140000000757
2022-04-01,0.999515723,1.000418334,0.999023511,0.999993937,4910693133.0,51654176342,0.0950686562202932,0.001394822999999934,-0.00047821400000003234
2022-03-31,0.999447853,1.000294359,0.998940852,0.999446736,4965559497.0,51365407021,0.09667127712956511,0.0013535069999999205,1.1170000000504388e-06
2022-03-30,0.999995654,1.000477826,0.999165272,0.999430698,4294916739.0,51740455617,0.08300886970908021,0.0013125539999999658,0.0005649560000000609
2022-03-29,1.000063681,1.000331859,0.999345107,0.999996498,4605087735.0,51796986017,0.08890648064905919,0.0009867520000000907,6.71830000000817e-05
2022-03-28,1.000044766,1.000511318,0.999231084,1.000125686,4736107595.0,52116603386,0.090875216098067,0.0012802339999999912,-8.092000000003985e-05
2022-03-27,0.999920417,1.00043528,0.999494814,1.000039067,3193250085.0,52083027076,0.061310762147913984,0.0009404660000000842,-0.0001186499999998869
2022-03-26,0.999203087,1.000544874,0.999065638,0.999892139,2351508897.0,51975504373,0.04524263738018772,0.0014792359999999949,-0.0006890519999999123
2022-03-25,0.999703151,1.000249433,0.998782923,0.999152917,3995768300.0,52258941157,0.07646095025147238,0.0014665099999999764,0.0005502339999999828
2022-03-24,0.99997676,1.000379329,0.999072821,0.999705451,4794381206.0,52458248440,0.09139422966978498,0.001306507999999984,0.00027130900000005287
